no.;select;experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;recall_retention_norm;skip_rate_norm;w_S;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_proc.params.n_chk;skip_proc.params.w_clr;skip_proc.params.fire_confirm_k
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__3010e1e4ccd4__20260515.190031_per_frame;0.600731556;0.943405271;0.007367868;0.425954;6.85E-05;0.995430311;0;0.858187937;0.7;0.3;0.015;0.982616603;0.956678808;35.82727051;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;5;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__03f2b18273a6__20260515.190032_per_frame;0.593271595;0.943405271;0.007385369;0.425061;6.85E-05;0.995430311;0;0.847530849;0.7;0.3;0.015;0.982602656;0.956645608;35.90904999;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;5;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__e7ad331d548e__20260515.172905_per_frame;0.532018999;0.943473816;0.007367868;0.381817;0;1;1;0.331455713;0.7;0.3;0.015;0.982630491;0.956715047;34.21437073;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;3;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__9c18a671d647__20260515.172906_per_frame;0.527048476;0.943473816;0.00740287;0.381222;0;1;1;0.324354966;0.7;0.3;0.015;0.982602656;0.956648588;34.161026;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;7;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__038414efacb2__20260515.190032_per_frame;0.524118672;0.943405271;0.007385369;0.416783;6.85E-05;0.995430311;0;0.74874096;0.7;0.3;0.015;0.982602656;0.956645608;35.53521347;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;5;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__c60eba068e6c__20260515.172905_per_frame;0.472366757;0.943405271;0.007367868;0.410588;6.85E-05;0.995430311;0;0.674809652;0.7;0.3;0.015;0.982616603;0.956678808;35.36917877;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;3;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__dbae9e332b92__20260515.172905_per_frame;0.470612454;0.943405271;0.007367868;0.410378;6.85E-05;0.995430311;0;0.672303506;0.7;0.3;0.015;0.982616603;0.956678808;35.3384285;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;5;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__3a9742c6e4be__20260515.190031_per_frame;0.470470439;0.943405271;0.007385369;0.410361;6.85E-05;0.995430311;0;0.672100628;0.7;0.3;0.015;0.982602656;0.956645608;35.21603775;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;5;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__4a38a5d8b34b__20260515.190031_per_frame;0.344737093;0.943405271;0.007385369;0.39531;6.85E-05;0.995430311;0;0.492481562;0.7;0.3;0.015;0.982602656;0.956645608;34.67703629;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;5;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__5d4b210d660e__20260515.172905_per_frame;0.305697305;0.943473816;0.007367868;0.354725;0;1;1;0.008139008;0.7;0.3;0.015;0.982630491;0.956715047;33.19047928;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;3;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__d31bf0e0749f__20260515.172906_per_frame;0.3;0.943473816;0.00740287;0.354043;0;1;1;0;0.7;0.3;0.015;0.982602656;0.956648588;33.13350296;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;7;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__d238b6102136__20260515.172906_per_frame;0.229821944;0.943405271;0.007385369;0.381554;6.85E-05;0.995430311;0;0.328317063;0.7;0.3;0.015;0.982602656;0.956645608;34.1773262;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;5;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__be4b8e121aa5__20260515.172906_per_frame;0.002923837;0.943405271;0.007385369;0.354393;6.85E-05;0.995430311;0;0.00417691;0.7;0.3;0.015;0.982602656;0.956645608;33.17013931;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;5;3
