experiment;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr);skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_rate
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__422171b6e4be__20260331.203241_per_frame;0.9819613695144652;0.954972505569458;0.0073678684420883;34.62652969360352;0.9702326059341432;0.940185010433197;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.39356
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__44dab6907672__20260331.203241_per_frame;0.9803304076194764;0.9507005214691162;0.0073678684420883;42.25418472290039;0.9699842929840088;0.9321685433387756;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.563021
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4accba502f05__20260331.203242_per_frame;0.9811110496520996;0.9527462720870972;0.0073503674939274;29.9648494720459;0.9701704382896424;0.9359369874000548;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.32535899999999995
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4bb23fe4a571__20260331.203243_per_frame;0.98207288980484;0.9552633166313172;0.0073678684420883;25.936885833740234;0.9702494740486144;0.9407331347465516;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.15413
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4d38640dd368__20260331.203242_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;22.009775161743164;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0;0.00434
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__53965c7f30ce__20260331.203241_per_frame;0.9783090353012084;0.945353627204895;0.0073503674939274;42.951656341552734;0.9697384834289552;0.9221650958061218;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.571176
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__53d45bfd5007__20260331.203242_per_frame;0.981780171394348;0.9544963836669922;0.0073503674939274;23.96590614318848;0.9702718257904052;0.939225733280182;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0;0.101435
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__53f62e37c1f5__20260331.203240_per_frame;0.979521870613098;0.948566198348999;0.0073503674939274;36.65845489501953;0.9699269533157348;0.928126096725464;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.45476
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5a736d4bf78e__20260331.203243_per_frame;0.981863796710968;0.9547178745269777;0.0073678684420883;32.214805603027344;0.9702178835868835;0.9397053718566896;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.37345100000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5b2f812ab2d8__20260331.203240_per_frame;0.978978157043457;0.9471285343170166;0.0073503674939274;39.27615737915039;0.9698427319526672;0.9254539012908936;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.511533
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5cc01d8557fd__20260331.203243_per_frame;0.9816268086433412;0.9540958404541016;0.0073503674939274;32.96381378173828;0.9702486395835876;0.9384720921516418;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.388852
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5db3ce8acc00__20260331.203239_per_frame;0.9806510210037231;0.9515396952629088;0.0073503674939274;34.75829315185547;0.9701004028320312;0.9336759448051452;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.412408
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__607ec4dd65c2__20260331.203243_per_frame;0.980288565158844;0.9505870938301086;0.0073503674939274;32.69828796386719;0.9700449109077454;0.9318944811820984;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.40616
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__62dc96513dc4__20260331.203240_per_frame;0.98207288980484;0.9552633166313172;0.0073678684420883;30.466264724731445;0.9702494740486144;0.9407331347465516;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.277879
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__666751535d2a__20260331.203241_per_frame;0.9805534482002258;0.951286792755127;0.0073678684420883;41.52075958251953;0.97001850605011;0.9332647919654846;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0;0.550893
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__66a366cba842__20260331.203244_per_frame;0.9812365174293518;0.953074872493744;0.0073503674939274;34.3631706237793;0.9701895117759703;0.9365535974502563;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.42878900000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__6daf0249c00a__20260331.203241_per_frame;0.9806091785430908;0.95143324136734;0.0073678684420883;41.18187713623047;0.9700270295143129;0.933538854122162;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.544225
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__702a2612b10c__20260331.203243_per_frame;0.9819613695144652;0.954972505569458;0.0073678684420883;27.049409866333008;0.9702326059341432;0.940185010433197;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.231904
