experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;FAR_drop;w_FAR;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;window_size;persist_thres
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c47dc06195a6__20260413.184935_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05539703;0.970368803;20;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c3ba3e799480__20260413.184933_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05543137;0.970368803;15;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__14ac0897268e__20260413.184934_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05544662;0.970368803;15;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__64aae89b1354__20260413.184932_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05555534;0.970368803;10;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fe9e36a34ad6__20260413.184932_per_frame;0.143782187;0.935662925;0.007297865;0;0.007810891;0.479273955;;0.7;0.3;0.015;0.981097102;0.9526999;24.05538559;0.970368803;10;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__892b2a05c2ec__20260413.184937_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.05550194;0.97039777;30;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__7a35bd669583__20260413.184936_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.05536842;0.97039777;25;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__63617d6722e6__20260413.184935_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.05537605;0.97039777;20;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__f678a1ae583f__20260413.184933_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.0553875;0.97039777;10;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__2c0aba4eea14__20260413.184933_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.05534172;0.97039777;10;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fe3b598c0275__20260413.184934_per_frame;0.117745686;0.9343611;0.007280364;0;0.009112716;0.392485619;;0.7;0.3;0.015;0.980846167;0.952038527;24.0553894;0.97039777;15;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__23874915aa67__20260413.184935_per_frame;0.091709185;0.933059275;0.007262863;0;0.010414541;0.305697282;;0.7;0.3;0.015;0.980595231;0.951376259;24.05527687;0.970426857;20;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c2e6a3f23d07__20260413.184934_per_frame;0.091709185;0.933059275;0.007262863;0;0.010414541;0.305697282;;0.7;0.3;0.015;0.980595231;0.951376259;24.05543137;0.970426857;15;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__07a8e20fd0ee__20260413.184933_per_frame;0.091709185;0.933059275;0.007262863;0;0.010414541;0.305697282;;0.7;0.3;0.015;0.980595231;0.951376259;24.05538559;0.970426857;10;0.85
